Drawing_Type,Purpose_of_Building,Client_Name,Project_Title,Drawing_Title,Notes_on_Drawing,Table_on_Drawing,Space_Classification.Communal,Space_Classification.Private,Space_Classification.Service,Details.Drawing_Number,Details.Project_Number,Details.Revision_Number,Details.Scale,Details.Architects,Additional_Details.Number_of_Units,Additional_Details.Number_of_Stairs,Additional_Details.Number_of_Elevators,Additional_Details.Number_of_Hallways,Additional_Details.Unit_Details,Additional_Details.Stairs_Details,Additional_Details.Elevator_Details,Additional_Details.Hallways,Additional_Details.Other_Common_Areas
Elevation,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 입면도-2 (근린생활시설-3),N/A,N/A,[],[],[],A51-2012,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 배치도 (근린생활시설-3),"1. 담장설치는 단지내부가보이는 투시형구조나 생울타리로 하고 지구단위계획 등에 따라 미설치 될 수 있음.
2. 단지내 및 단지주변 계획고는 공사시 실측현황에 따라 변경될 수 있음.
3. 소방차 주차공간 내에는 소방차의 구호 활동에 장애가 되는 식재 및 시설물등을 설치할 수 없으며, 바닥 표지토록 할 것.
4. 조경, 옥외시설물 등의 형태, 개소, 위치는 실시공시 변경될 수 있음.
5. 보행브릿지는 심의 및 실시계획인가시 변경될 수 있음.",N/A,[],[],[],A51-2000,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 단면도-4 (근린생활시설-3),"1. 옥상 줄눈의 간격 등은 실시공시 변경될 수 있음.
2. 옥상 줄눈 틈에 실란트 시공되지 않음.
3. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
4. 지붕층 난간의 형태와 설치 위치는 안전성 및 입면 디자인을 고려하여 변경 가능함.
5. 단열재의 종류는 단열성능관계내역 참조.
6. 도면상 표기원 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
7. 외벽 단열 부분과 환기덕트 연결되는 부위는 기밀하게 마감한다.",N/A,[],[],[],A51-2024,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 입면도-1 (근린생활시설-3),N/A,N/A,[],[],[],A51-2011,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지붕 평면도 (근린생활시설-3),"1. 층별 LEVEL 기준 - 지붕층 LEVEL - SL±0 = FL±0 = EL+38.70
2. 옥상 쭁눌의 간격 등은 실시공시 변경될 수 있음.
3. 옥상 쭁눌 등에는 실란드 시공되지 않음.
4. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
5. 지붕층 난간의 형태와 설치 위치는 안전성과 입면 디자인을 고려하여 변경 가능함.
6. 단열재의 종류는 단열성능관계내역 참조.
7. 도면상 표기 된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.",N/A,[],[],[],A51-2009,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Mixed-use,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 단면도-1 (근린생활시설-3),"1. 옥상 줄눈의 간격 틈은 실시공시 변경될 수 있음.
2. 옥상 줄는 틈에 실란트 시공되지 않음.
3. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
4. 지붕층 난간의 형태와 설치 위치는 안전성과 입면 디자인을 고려하여 변경 가능함.
5. 단열재의 종류는 단열성능 관계내역 참조.
6. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 분시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
7. 외벽 단열 부분과 환기덕트가 연결되는 부위는 기밀하게 마감한다.",N/A,[],[],[],A51-2021,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 단면도-5 (근린생활시설-3),"1. 옥상 출눈의 간격 등은 실시공시 변경될 수 있음.
2. 옥상 출는 틈에 실란드 시공되지 않음.
3. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
4. 지붕층 난간의 형태와 설치 위치는 안전성 및 입면 디자인을 고려하여 변경 가능함.
5. 단열재의 종류는 단열성능관계내역 참조.
6. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
7. 외벽 단열 부분과 환기덕트가 연결되는 부위는 기밀하게 마감한다.",N/A,[],[],[],A51-2025,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하3층 평면도 (근린생활시설-3),"1. 층별 LEVEL 기준
- 지하3층 LEVEL
- SL-2,100 = EL+5.70
- SL-3,100 = EL+4.70
2. 옥상 줄눈의 간격 등은 실시공시 변경될 수 있음.
3. 옥상 줄눈 틈에 실란트 시공되지 않음.
4. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
5. 지붕 늑대 난간의 형태와 위치는 안전성과 입면 디자인을 고려하여 변경 가능함.
6. 단열재의 종류는 단열성능 내역 참조.
7. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
8. 접수정의 재질 및 위치는 현장여건에 따라 설비, 구조 등 기타분야 검토 후 변경될 수 있으며, 사용승인 이전 설계 변경 할 것.",N/A,[],[],[],A51-2001,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Mixed-use,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 단면도-2 (근린생활시설-3),"1. 옥상 줄눈의 간격 등은 실시공시 변경될 수 있음.
2. 옥상 줄눈 틈에 실란트 시공되지 않음.
3. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
4. 지붕층 난간의 형태와 설치 위치는 안전성 및 입면 디자인을 고려하여 변경 가능함.
5. 단열재의 종류는 단열성능 관계내역 참조.
6. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
7. 외벽 단열 부분과 환기덕트 연결되는 부위는 기밀하게 마감한다.",N/A,[],[],[],A51-2022,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 단면도-6 (근린생활시설-3),"1. 옥상 줄눈의 간격 등은 실시공시 변경될 수 있음.
2. 옥상 줄눈 홈에 실란트 시공되지 않음.
3. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
4. 지붕층 난간의 형태와 설치 위치는 안전성과 입면 디자인을 고려하여 변경 가능함.
5. 단열재의 종류는 단열성능 관계내역 참조.
6. 도면상 표기된 옥상 및 지하외 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
7. 외벽 단열 부분과 환기덕트 연결되는 부위는 기밀하게 마감한다.",N/A,[],[],[],A51-2026,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
